Ad group,Ad Name (FB),Book1,Book2,Book3,Book4
MoT | Ad2 | Sales,"TR Ad2 Sales [Feb 22, 2025]",Mother of Trees,Bones of Cenaedth,,
MoT | Ad3 | Sales,"TR Ad3 Sales [Feb 22, 2025]",Mother of Trees,Bones of Cenaedth,,
MoT | Ad4 | Sales,"TR Ad4 Sales [Feb 22, 2025]",Mother of Trees,Bones of Cenaedth,,
MoT | Ad5 | Sales,"TR Ad5 Sales [Feb 22, 2025]",Mother of Trees,Bones of Cenaedth,,
MoT | Ad9 | Sales,"TR Ad9 Sales [Feb 22, 2025]",Mother of Trees,Bones of Cenaedth,,
GL Sales Ad5,GL Ad5 Sales [Mar 7 2025],The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL Sales Ad1,"GL Ad1 Sales [Mar 7, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL Sales Ad2,"GL Ad2 Sales [Mar 7, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL Sales Ad 14,"GL Ad14 Sales [Mar 7, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL Sales Ad17,"GL Ad17 Sales [Mar 7, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
MoT | Ad10 | Sales,"TR Ad10 Sales [April 23, 2025]",Mother of Trees,Bones of Cenaedth,,
GL Sales Ad21,"GL Ad21 Sales [April 27, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL USA Kindle Deal April 2025 Ad17,"GL Ad17 Sales [April 11, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL USA Kindle Deal April 2025 Ad2,"GL Ad2 Sales [April 11, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL USA Kindle Deal April 2025 Ad14,"GL Ad14 Sales [April 11, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL USA Kindle Deal April 2025 Ad1,"GL Ad1 Sales [April 11, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL USA Kindle Deal April 2025 Ad20,"GL Ad20 Sales [April 11, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
MoT | Ad10 | IG,"TR IG Ad10 Sales [April 23, 2025]",Mother of Trees,Bones of Cenaedth,,
GL USA IG Ad21,"GR IG Ad21 Sales [April 27, 2025]",The Guardian of the Palace,Stars in the Sand,We're Going on an Elf Hunt,The Song Unsung
GL Sales Ad 13,,,,,
GL Sales Ad15,,,,,
GL Sales Ad16,,,,,
GL Sales Ad 12,,,,,
GL Sales Ad 11,,,,,
